LABNR,C14AGE,C14STD,C13,MATERIAL,SITE,COUNTRY,FEATURE,FEATURE_DESC,PHASE,POTTERY,ASSOCIATION,REL,LAT,LONG,SOURCE
Beta-10301,1670,50,0,Charcoal,Lac Bleu de Mouila,GAB,,,,,,,-1.916,11.0167,Clist 2004/05
Beta-103857,410,60,0,,Vafio,CAF,,,,,,,7.40714,18.40859,Moga 2008
Beta-104810,1730,70,0,,Bouri,CAF,,,,,,,7.12755,18.27725,Moga 2008
Beta-12207,2100,90,0,Charcoal,Lac Bleu de Mouila,GAB,,,,,,,-1.916,11.0167,Eggert 1993
Beta-12208,1920,80,0,Charcoal,Lac Bleu de Mouila,GAB,,,,,,,-1.916,11.0167,Clist 2004/05
Beta-12209,120,100,0,Charcoal,Komo,GAB,,,,,,,0.367,10.117,Clist 2004/05
Beta-12858,1920,60,0,,Mfomakap/Nkometou,CMR,,,,,,,4.049917,11.55,Elouga 1998; Garcin et al. 2018
Beta-143016,2340,70,0,,Bwambé-Sommet (Est),CMR,BWS 2,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-143017,2520,70,0,,Bwambé-Sommet (Est),CMR,BWS 4,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-143018,2000,40,0,,Campo,CMR,CAM 00,Trench,,,,1,2.377257,9.83092,Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1
Beta-14427,2350,140,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Eggert 1993
Beta-14428,2330,90,0,,Moanda,GAB,2,,,,,,-1.557111,13.228192,Clist 1995; Garcin et al. 20018
Beta-146654,1670,70,0,,Bandewouri 1,CMR,,,,,,,3.058142,10.181206,Oslisly 2001; Oslisly et al. 2013
Beta-146655,2200,60,0,,Bwambé-Sommet (Est),CMR,BWS 1,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Oslisly 2006: 131; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-146656,2030,80,0,,Bwambé-Sommet (Est),CMR,BWS 9,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Oslisly 2006; Nlend Nlend 2013: 257 Tab. 44; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-146657,2340,60,0,,Bwambé-Sommet (Est),CMR,BWS 11,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-146658,1760,70,0,,Bwambé-Sommet (Est),CMR,,Trench,,,,,2.893551,9.903519,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-146659,1710,60,0,,Campo,CMR,CAM 00/1,Pit,,Campo,,1,2.377257,9.83092,Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1
Beta-146660,1940,70,0,,Campo,CMR,CAM Campo2/Pit 1,Pit,,,,1,2.377257,9.83092,Oslisly u.a. 2006; Eggert/Seidensticker 2016:64 Tab. 4.1
Beta-146661,1820,80,0,,Kribi Hotel,CMR,,Trench,,,,1,2.933333,9.904167,Oslisly u.a. 2006: 130; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-14825,2460,70,0,,Kango 5,GAB,,,Neol,,,,0.200833,10.0825,Clist 1989
Beta-14826,140,90,0,Charcoal,85/22,GAB,,,,,,,-5.821716,18.129999,Clist 2004/05
Beta-14827,360,60,0,Charcoal,85/26,GAB,,,,,,,2.034,11.5,Clist 2004/05
Beta-14828,5950,70,0,,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Beta-14829,4400,70,0,,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Beta-14830,1710,60,0,Charcoal,Oyem 1,GAB,,,,,,,1.593056,11.573333,Clist 2004/05
Beta-14831,5710,80,0,,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Beta-14832,1970,70,0,Shell (River/Ocean),Oveng,GAB,,Pit,,Oveng,,0,0.478611,9.516667,Clist 2004/05
Beta-14833,1740,60,0,,Oveng,GAB,,Pit,,Oveng,,,0.478611,9.516667,Clist 2004/05
Beta-14834,2640,70,0,,Otoumbi 2,GAB,,,,,,0,-0.0675,11.091667,Oslisly 1992
Beta-14835,1740,60,0,Charcoal,Otoumbi 1,GAB,,,,,,,-0.0675,11.085,Clist 2004/05
Beta-15057,3390,70,0,Charcoal,Koualessis,GAB,,,,,,,1.385833,11.639722,Clist 2004/05
Beta-15058,1920,60,0,Charcoal,Koualessis,GAB,,,,,,,1.385833,11.639722,Clist 2004/05
Beta-15059,2110,70,0,Charcoal,Koualessis,GAB,,,,,,,1.385833,11.639722,Eggert 1993
Beta-15060,140,80,0,Charcoal,Ndzomossi 11,GAB,,,,,,,1.6358,11.6122,Clist 2004/05
Beta-15061,350,70,0,,M‘Bam,GAB,,,,,,,1.3364,11.5153,Clist 1995; Garcin et al. 20018
Beta-15062,270,70,0,Charcoal,Soukoudzap,GAB,,,,,,,1.6736,11.5131,Clist 2004/05
Beta-15063,2130,110,0,,Lope 4,GAB,,,,,,,-0.171,11.614,Oslisly 1992
Beta-15064,660,80,0,Charcoal,Lope 5,GAB,,,,,,,-0.1578,11.6111,Clist 2004/05
Beta-15065,5460,70,0,Charcoal,Lope 5,GAB,,,,,,,-0.1578,11.6111,Clist 2004/05
Beta-15066,1980,80,0,,Otoumbi 4,GAB,,,,,,,-0.069167,11.121667,Oslisly 1992
Beta-15067,2260,120,0,,Otoumbi 5,GAB,,,,,,,-0.0625,11.124167,Oslisly 1992
Beta-15068,1900,90,0,,Otoumbi 5,GAB,,Pit,,,,,-0.0625,11.124167,Oslisly 1992
Beta-156376,1570,70,0,,Boussibilinga 1,CMR,BOS 1 1,Pit,,,,,2.7375,9.8778,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-156377,550,70,0,,Bwambe-Beach,CMR,BWB D1,Trench,,,,,2.898504,9.901455,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-156378,2240,70,0,,Bwambé-Sommet (Est),CMR,BWS 12,Pit,,Bissiang/Malongo,,1,2.893551,9.903519,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156379,2360,70,0,,Bwambé-Sommet (Est),CMR,BWS 16,Pit,,Bissiang/Malongo,,1,2.893551,9.903519,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156380,2550,90,0,,Bwambé-Sommet (Est),CMR,BWS 17,Pit,,Bissiang/Malongo,,1,2.893551,9.903519,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156381,2240,90,0,,Bwambé-Sommet (Est),CMR,BWS 19,Pit,,Bissiang/Malongo,,1,2.893551,9.903519,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156382,2410,60,0,,Bwambé-Sommet (Est),CMR,BWS 2,Pit,,Bwambé/Mpoengu,,1,2.893551,9.903519,Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156383,2460,70,0,,Bwambé-Sommet (Est),CMR,BWS 2,Pit,,Bissiang/Malongo
,,1,2.893551,9.903519,Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2
Beta-156384,1830,70,0,,Campo,CMR,CAM 00/3,Burial,,Campo,,1,2.377257,9.83092,Oslisly u.a. 2006; Eggert/Seidensticker 2016:64 Tab. 4.1
Beta-156385,1780,60,0,,Campo,CMR,CAM 00/2,Pit,,Campo,,1,2.377257,9.83092,Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1
Beta-156387,2340,60,0,,Malongo 1,CMR,2,Pit,,Bissiang/Malongo,,1,2.734167,9.866944,Oslisly u.a. 2006: 131; Nlend Nlend 2013/2014: 199; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-156388,1900,50,0,,Nlendé Dibe 3,CMR,,Trench,,,,,2.760833,9.880556,Oslisly u.a. 2006; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:81 Tab. 4.2
Beta-15738,2050,100,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-15739,530,60,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-15740,1560,100,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-15741,2050,60,0,Charcoal,Moanda,GAB,1,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-15742,2220,90,0,,Moanda,GAB,2,,,,,,-1.557111,13.228192,Eggert 1993
Beta-15800,222,70,0,,Pong Solo,CMR,,,,,,,4.11667,11.28333,Elouga 1998
Beta-16174,2460,80,0,,Ikengue 1,GAB,,,Neol,,,,-1.5,9.498611,Clist 1989
Beta-16319,1930,110,0,Charcoal,Mbilape,GAB,4,,,,,,-0.875,9.15,Clist 2004/05
Beta-16320,1440,110,0,Charcoal,Mbilape,GAB,4,,,,,,-0.875,9.15,Clist 2004/05
Beta-163966,3160,70,0,,Mban 1,TCD,,,,,,,,,Lavachery et al 2010; Clist 2012
Beta-165709,1480,60,0,,Bwambe-Beach,CMR,BWB N1,Trench,,,,,2.898504,9.901455,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-165710,1350,50,0,,Bwambe-Beach,CMR,BWB N2,Trench,,,,,2.898504,9.901455,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-165711,1360,60,0,,Bwambe-Beach,CMR,BWB D2,Trench,,,,,2.898504,9.901455,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-165712,1280,70,,,Eboundja 3,CMR,,,,,,,2.7889,9.8894,
Beta-165713,1740,50,0,,Eboundja 3,CMR,,Pit,,,,,2.788889,9.889444,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-165714,1280,70,0,,Eboundja 3,CMR,,Trench,,,,,2.788889,9.889444,Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-16742,7670,80,0,,Lope 2,GAB,,,LSA,,,,-0.218056,11.5875,Clist 1989
Beta-169033,1020,50,0,,Mban 1,TCD,,,,,,,,,Lavachery et al 2010; Clist 2012
Beta-169185,410,50,0,,Akok Benyat 2,CMR,,,,,,,2.395945,10.070991,Oslisly et al 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-169186,1070,60,0,,Akok Benyat 2,CMR,,,,,,,2.395945,10.070991,Oslisly et al 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-169187,3650,70,0,,Akok Benyat 2,CMR,,,,,,,2.395945,10.070991,Oslisly et al 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-16941,1080,90,0,Charcoal,Batanga I,GAB,,,,,,,-1.433,9.132,Clist 2004/05
Beta-16942,2420,140,0,,Mbilape,GAB,4,,Neol,,,,-0.875,9.15,Clist 1989
Beta-16943,2290,90,0,Charcoal,Mbilape,GAB,2,,,,,,-0.875,9.15,Clist 2004/05
Beta-17043,2150,90,0,,Moanda,GAB,1,,,,,,-1.557111,13.228192,Eggert 1993; Clist 2004/05
Beta-17044,2150,110,0,,Moanda,GAB,2,,,,,,-1.557111,13.228192,Eggert 1993
Beta-17045a,2070,70,0,Charcoal,Moanda,GAB,2,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-17045b,2140,70,0,,Moanda,GAB,2,,,,,,-1.557111,13.228192,Clist 2004/05
Beta-17060,2320,70,0,Elaeis guineensis,Kango 5,GAB,,Pit,,,,,0.200833,10.0825,Clist 2004/05
Beta-17061,3400,70,0,,Riviere Denis,GAB,1,,Neol,,,0,0.322222,9.347778,Clist 1989
Beta-17061,3400,70,0,Charcoal,Riviere Denis,GAB,2,,,,,0,0.322222,9.347778,Clist 2004/05
Beta-17062,620,60,0,,Ayene,GNQ,,,,,,,1.0833,9.7667,Clist 1998
Beta-17239,2460,50,0,,Mbilape,GAB,4,,Neol,,,,-0.875,9.15,Clist 1989
Beta-17518,3250,70,0,,Ikengue 1,GAB,,,LSA,,,,-1.5,9.498611,Clist 1989
Beta-17519,370,60,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-17520,230,60,0,,Ikengue 1,GAB,,,,,,,-1.5,9.498611,Clist 2004/05
Beta-175346,920,40,0,,Mban 1,TCD,,,,,,,,,Lavachery et al 2010; Clist 2012
Beta-182529,0,0,0,,Bemboyo,CMR,,Trench,,,,,7.314782,15.176851,Lavachery et al. 2010
Beta-182530,90,70,0,,Bemboyo,CMR,,Trench,,,,,7.314782,15.176851,Lavachery et al. 2010
Beta-182531,830,40,0,,Sokorta Manga,CMR,,Trench,,,,,7.133633,14.83176,Lavachery et al. 2010
Beta-182532,1040,40,0,,Sokorta Manga,CMR,,Trench,,,,,7.133633,14.83176,Lavachery et al. 2010
Beta-182533,1950,60,0,,Djaoro Mbama,CMR,,Furnace,,,,,7.094325,14.744678,Lavachery et al. 2005
Beta-182534,1980,70,0,,Djaoro Mbama,CMR,,,,,,,7.094325,14.744678,Lavachery et al. 2005
Beta-182535,2010,60,0,,Djaoro Mbama,CMR,,Furnace,,,,,7.094325,14.744678,Lavachery et al. 2005
Beta-182536,1770,80,0,,Djaoro Mbama,CMR,,Furnace,,,,,7.094325,14.744678,Lavachery et al. 2005
Beta-182537,1880,60,0,,Djaoro Mbama,CMR,,Pit,,,,,7.094325,14.744678,Lavachery et al. 2005
Beta-182538,700,60,0,,Ndtoua,CMR,C6-IV,Stratigraphy,,,,1,3.063129,10.218947,"Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:68, 77 Tab. 4.2"
Beta-182539,5490,70,0,,Ndtoua,CMR,C6-I,Stratigraphy,,LSA,,1,3.063129,10.218947,"Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2"
Beta-182540,1920,70,0,,Ndtoua,CMR,C6-III,Stratigraphy,,,,1,3.063129,10.218947,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182541,1910,60,0,,Ndtoua,CMR,C6-III,Stratigraphy,,,,1,3.063129,10.218947,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182542,1690,70,0,,Koukony,CMR,,Trench,,,,,4.849055,13.063387,Lavachery et al. 2010
Beta-182543,400,50,0,,Ewankang,CMR,,,,,,,4.804371,12.851953,Lavachery et al. 2010
Beta-182544,2210,60,0,,Makoure,CMR,,Furnace,,,,,3.060819,10.1733,Lavachery et al. 2005: 175; Eggert/Seidensticker 2016:79 Tab. 4.2
Beta-182545,240,60,0,,Yebi,CMR,,Trench,,,,,4.97257,13.319878,Lavachery et al. 2010
Beta-182546,2540,60,0,,Dombè,CMR,,Pit,,Bissiang/Malongo,,1,2.964143,9.949644,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182547,2440,60,0,,Dombè,CMR,,Pit,,Bissiang/Malongo,,1,2.964143,9.949644,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182548,2550,60,0,,Bissiang,CMR,,Pit,,Bissiang/Malongo,,1,2.997909,10.021249,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182549,2770,70,0,,Bissiang,CMR,,Pit,,Bissiang/Malongo,,1,2.997909,10.021249,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182550,1530,70,0,,Bidou 2,CMR,,Pit,,,,,3.030839,10.082725,Lavachery et al. 2010: 175; Gouem Gouem 2010/2011; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182551,1580,80,0,,Bidjouka,CMR,,Pit,,,,,3.137308,10.50152,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182552,1480,70,0,,Bidjouka,CMR,,Pit,,,,,3.137308,10.50152,Lavachery et al. 2010: 175; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182553,270,70,0,,Lom 1,CMR,,,,,,,5.404084,13.490392,Lavachery et al. 2010
Beta-182554,920,120,0,,Pangar,CMR,,,,,,,5.641054,13.715291,Lavachery et al. 2010
Beta-182555,2000,40,0,,Ngoumou,CMR,,Pit,,,,,3.601958,11.320731,Lavachery et al. 2010
Beta-182556,330,50,0,,Obokoue,CMR,,Pit,,,,,3.647211,11.351564,Lavachery et al. 2010
Beta-182557,1590,60,0,,Binguela II,CMR,,Pit,,,,,3.740573,11.373486,Lavachery et al. 2010
Beta-182558,1670,70,0,,Binguela II,CMR,,Pit,,,,,3.740573,11.373486,Lavachery et al. 2010
Beta-182559,1630,70,0,,Binguela II,CMR,,Pit,,,,,3.740573,11.373486,Lavachery et al. 2010
Beta-182560,2170,70,0,,Zoatoupsi,CMR,,Pit,,,,,3.809776,11.389442,Lavachery et al. 2010
Beta-182561,1550,70,0,,Ozom,CMR,,Pit,,,,,3.914425,11.4172,Lavachery et al. 2010
Beta-182562,870,60,0,,Beka Petel,CMR,,,,,,,6.771009,14.420556,Lavachery et al. 2010
Beta-182563,750,70,0,,Beka Petel,CMR,,,,,,,6.771009,14.420556,Lavachery et al. 2010
Beta-182564,1420,60,0,,Essong Missang,CMR,,Pit,,,,,4.091245,11.581042,Lavachery et al. 2010
Beta-182565,2120,70,0,,Ezezang,CMR,,Pit,,,,,4.025863,11.498476,Lavachery et al. 2010
Beta-182566,2410,60,0,,Ezezang,CMR,,Pit,,,,,4.025863,11.498476,Lavachery et al. 2010
Beta-182567,2220,70,0,,Ezezang,CMR,,Trench,,,,,4.025863,11.498476,Lavachery et al. 2010
Beta-182568,2260,40,0,,Ezezang,CMR,,Trench,,,,,4.025863,11.498476,Lavachery et al. 2010
Beta-182569,2210,40,0,,Ezezang,CMR,,Trench,,,,,4.025863,11.498476,Lavachery et al. 2010
Beta-182570,2240,100,0,,Ongot,CMR,,Pit,,,,,3.851445,11.377713,Lavachery et al. 2010
Beta-182571,1410,60,0,,Ongot,CMR,,Pit,,,,,3.851445,11.377713,Lavachery et al. 2010
